,Index,P/E,EPS (ttm),Insider Own,Shs Outstand,Perf Week,Market Cap,Forward P/E,EPS next Y,Insider Trans,Shs Float,Perf Month,Income,PEG,EPS next Q,Inst Own,Short Float,Perf Quarter,Sales,P/S,EPS this Y,Inst Trans,Short Ratio,Perf Half Y,Book/sh,P/B,EPS next Y,ROA,Target Price,Perf Year,Cash/sh,P/C,EPS next 5Y,ROE,52W Range,Perf YTD,Dividend,P/FCF,EPS past 5Y,ROI,52W High,Beta,Dividend %,Quick Ratio,Sales past 5Y,Gross Margin,52W Low,ATR,Employees,Current Ratio,Sales Q/Q,Oper. Margin,RSI (14),Volatility,Optionable,Debt/Eq,EPS Q/Q,Profit Margin,Rel Volume,Prev Close,Shortable,LT Debt/Eq,Earnings,Payout,Avg Volume,Price,Recom,SMA20,SMA50,SMA200,Volume,Change
RCL,S&P; 500,11.73,8.42,0.50%,216.10M,4.22%,21.34B,9.98,9.89,1.00%,165.55M,-13.56%,1.78B,0.98,1.51,73.80%,1.64%,-22.89%,9.17B,2.33,27.00%,-0.44%,1.44,-4.93%,54.24,1.82,11.95%,7.30%,137.21,-20.08%,1.18,83.76,12.00%,16.40%,89.48 - 135.65,0.99%,2.80,-,146.20%,9.70%,-27.19%,1.39,2.84%,0.20,2.70%,44.90%,10.37%,4.10,66000,0.20,8.80%,20.10%,46.75,3.87% 4.16%,Yes,0.87,10.70%,19.50%,1.20,92.55,Yes,0.65,Jan 24 BMO,29.60%,1.88M,98.76,1.70,-2.09%,-6.19%,-12.09%,"2,261,376",6.71%
RE,S&P; 500,8.37,25.67,0.10%,42.13M,0.03%,9.05B,8.94,24.03,-2.09%,30.30M,-4.23%,1.06B,0.21,6.27,-,2.62%,-4.89%,7.46B,1.21,-51.20%,1.25%,2.71,-6.82%,206.42,1.04,43.51%,2.90%,249.20,-2.21%,15.19,14.15,40.01%,8.30%,201.09 - 264.88,-1.31%,5.60,17.19,-6.00%,5.70%,-18.87%,0.41,2.61%,-,6.00%,-,6.87%,5.88,1276,-,12.80%,9.70%,48.03,1.90% 2.76%,Yes,0.08,131.90%,9.20%,0.88,208.80,Yes,0.08,Jan 28 AMC,30.50%,293.42K,214.91,2.60,-1.35%,-0.86%,-5.14%,"258,724",2.93%
REG,S&P; 500,39.63,1.44,0.50%,174.61M,-2.13%,9.97B,34.80,1.64,-0.94%,159.33M,-10.86%,245.60M,4.35,0.38,-,2.20%,-9.65%,1.10B,9.05,-33.90%,6.67%,3.05,-8.11%,38.43,1.49,12.01%,2.30%,69.94,-17.31%,0.23,246.79,9.10%,3.90%,54.87 - 69.08,-2.69%,2.22,46.66,42.80%,2.20%,-17.34%,0.50,3.89%,-,15.70%,73.50%,4.06%,1.75,446,-,6.20%,29.70%,37.19,3.17% 3.24%,Yes,0.57,17.30%,23.20%,1.26,56.89,Yes,0.57,Jan 24 AMC,146.20%,1.15M,57.10,1.90,-4.95%,-8.20%,-7.05%,"1,450,703",0.37%
REGN,S&P; 500,21.54,18.46,0.70%,107.56M,8.98%,42.76B,17.59,22.60,-10.75%,76.03M,3.90%,2.12B,1.86,5.54,73.60%,2.76%,-1.36%,6.37B,6.72,70.80%,1.76%,2.75,10.14%,72.83,5.46,4.64%,18.50%,428.33,0.96%,20.38,19.51,11.58%,25.90%,281.89 - 416.49,6.44%,-,26.27,14.30%,22.30%,-4.55%,1.16,-,3.60,33.60%,93.40%,41.03%,14.76,6200,4.00,10.80%,37.00%,66.32,3.62% 3.97%,Yes,0.00,55.70%,28.20%,1.57,372.08,Yes,0.09,Feb 05 BMO,0.00%,761.57K,397.55,2.50,7.83%,10.82%,12.85%,"1,193,903",6.85%
RF,S&P; 500,10.85,1.30,0.10%,1.06B,5.91%,14.97B,8.94,1.58,-4.27%,1.03B,-14.91%,1.48B,1.21,0.38,80.40%,1.90%,-23.39%,4.26B,3.52,19.00%,-3.58%,1.27,-18.96%,12.85,1.10,3.67%,1.30%,18.88,-18.68%,3.30,4.28,9.00%,10.90%,12.39 - 20.21,5.75%,0.56,12.41,6.40%,14.60%,-29.99%,1.42,3.96%,-,0.40%,-,14.20%,0.52,21714,-,9.90%,85.80%,47.91,3.07% 4.00%,Yes,0.39,30.30%,38.20%,1.08,13.65,Yes,0.39,Jan 18 BMO,23.40%,15.47M,14.15,2.50,3.12%,-8.28%,-20.80%,"16,783,362",3.66%
RHI,S&P; 500,16.56,3.39,0.20%,124.19M,-0.09%,6.97B,14.37,3.90,-13.87%,117.95M,-10.78%,415.10M,0.84,0.92,96.20%,7.29%,-18.38%,5.66B,1.23,0.00%,2.05%,5.97,-14.55%,9.32,6.02,10.10%,19.00%,67.50,0.50%,2.91,19.26,19.80%,33.10%,51.35 - 79.91,-1.94%,1.12,20.38,12.20%,29.90%,-29.81%,1.22,2.00%,1.80,5.10%,41.40%,9.23%,2.06,17200,1.80,10.70%,9.90%,45.88,3.33% 3.44%,Yes,0.00,41.60%,6.50%,1.09,52.90,Yes,0.00,Jan 22 AMC,35.60%,1.44M,56.09,3.00,-1.51%,-6.00%,-14.43%,"1,573,656",6.03%
RHT,S&P; 500,79.45,2.19,0.40%,176.50M,-0.80%,30.71B,43.64,3.99,-8.25%,175.17M,-2.45%,404.90M,4.80,1.01,99.50%,4.95%,33.78%,3.26B,9.43,49.20%,0.92%,2.83,28.35%,7.30,23.83,13.72%,5.90%,185.39,41.39%,10.01,17.38,16.55%,21.20%,115.31 - 179.49,-0.94%,-,30.91,21.90%,16.90%,-3.06%,0.58,-,1.20,17.10%,85.30%,50.89%,1.48,11870,1.20,13.70%,15.30%,44.38,0.80% 0.78%,Yes,0.40,-12.40%,9.20%,0.72,173.96,Yes,0.40,Dec 17 AMC,0.00%,3.07M,173.99,2.60,-0.94%,2.79%,12.68%,"2,207,007",0.02%
RL,S&P; 500,18.75,5.59,1.20%,81.55M,2.68%,8.55B,14.20,7.38,0.19%,53.77M,-8.83%,460.20M,1.64,2.14,-,8.34%,-21.20%,6.25B,1.37,487.80%,-1.17%,3.24,-16.50%,42.58,2.46,8.82%,3.90%,137.29,3.10%,22.96,4.56,11.41%,6.90%,95.63 - 147.79,1.29%,2.50,21.44,-10.30%,9.10%,-29.10%,0.71,2.39%,2.20,-2.30%,61.40%,9.58%,4.15,12800,3.00,1.60%,8.90%,45.77,3.80% 4.08%,Yes,0.27,18.40%,3.80%,0.63,100.68,Yes,0.26,Feb 05 BMO,72.50%,1.39M,104.79,2.90,1.73%,-8.67%,-15.06%,"871,397",4.08%
RMD,S&P; 500,33.50,3.29,0.70%,146.53M,-0.85%,16.15B,26.58,4.15,-5.72%,140.74M,-2.51%,473.70M,4.40,0.94,68.00%,1.78%,-1.40%,2.40B,6.71,31.10%,1.25%,2.78,4.68%,13.32,8.27,12.18%,10.10%,107.13,27.51%,1.57,70.14,7.62%,16.70%,86.12 - 116.64,-3.23%,1.48,65.26,8.50%,19.80%,-5.53%,0.89,1.34%,1.90,9.10%,58.20%,27.95%,3.30,5940,2.60,12.30%,23.80%,50.88,3.11% 2.69%,Yes,0.28,22.90%,13.90%,1.56,106.48,Yes,0.27,Jan 24 AMC,60.50%,899.78K,110.19,2.50,-0.65%,2.75%,4.33%,"1,404,891",3.48%
ROK,S&P; 500,17.54,8.56,0.70%,123.25M,0.23%,18.50B,15.40,9.75,-6.57%,119.90M,-15.69%,1.07B,1.40,1.99,79.50%,3.00%,-20.94%,6.67B,2.78,33.30%,-0.76%,3.19,-11.49%,13.25,11.33,8.13%,8.30%,174.83,-25.14%,7.38,20.34,12.50%,29.90%,141.46 - 209.38,-0.23%,3.88,25.22,9.60%,31.60%,-28.30%,1.29,2.58%,1.00,1.00%,43.10%,6.13%,5.12,23000,1.30,3.70%,20.00%,42.08,2.36% 3.44%,Yes,1.10,108.10%,8.00%,0.92,145.54,Yes,0.76,Feb 06 BMO,80.20%,1.13M,150.13,2.90,-2.47%,-7.69%,-13.25%,"1,042,574",3.15%
ROL,S&P; 500,52.82,0.69,55.85%,335.26M,1.84%,12.24B,45.23,0.81,0.00%,144.53M,-14.17%,226.00M,5.34,0.17,40.80%,5.65%,-6.69%,1.79B,6.83,14.10%,3.25%,5.58,3.26%,2.24,16.29,11.62%,19.90%,40.75,18.06%,0.35,103.09,9.90%,31.20%,29.74 - 42.94,1.11%,0.37,130.60,11.50%,29.10%,-15.01%,0.61,1.01%,0.90,5.70%,50.80%,22.74%,1.12,13126,1.00,8.30%,17.10%,46.47,2.47% 3.30%,Yes,0.00,29.40%,12.00%,0.44,35.35,Yes,0.00,Jan 23 BMO,54.40%,1.46M,36.50,2.20,-0.32%,-5.63%,-1.19%,"649,530",3.25%
ROP,S&P; 500,30.46,8.78,1.80%,108.07M,0.88%,28.91B,21.83,12.25,-0.52%,101.14M,-11.15%,915.80M,2.48,3.13,94.30%,1.35%,-10.29%,5.04B,5.73,13.70%,-1.27%,2.66,-3.08%,73.06,3.66,4.57%,7.70%,317.90,2.06%,3.36,79.55,12.30%,15.70%,245.59 - 312.65,0.36%,1.85,24.88,8.50%,7.80%,-14.44%,1.14,0.69%,0.70,9.00%,62.90%,8.92%,7.93,14236,0.80,13.70%,27.00%,46.63,2.32% 3.15%,Yes,0.69,29.00%,22.40%,1.00,258.80,Yes,0.58,Jan 25 BMO,14.40%,515.21K,267.49,2.00,-1.26%,-4.70%,-5.86%,"513,288",3.36%
ROST,S&P; 500,20.09,4.25,0.20%,373.89M,4.28%,31.91B,18.91,4.51,-3.87%,362.79M,0.70%,1.60B,1.67,1.13,92.20%,1.96%,-11.78%,14.94B,2.14,32.70%,-0.56%,2.14,0.27%,8.66,9.85,7.74%,26.70%,94.61,6.08%,3.61,23.65,12.01%,50.90%,73.76 - 104.35,2.57%,0.90,25.47,16.30%,42.10%,-18.22%,1.01,1.05%,0.70,7.80%,28.70%,15.70%,2.63,82700,1.60,6.60%,14.00%,54.68,2.70% 3.28%,Yes,0.12,26.90%,10.70%,0.92,83.08,Yes,0.10,Nov 20 BMO,19.50%,3.33M,85.34,2.20,6.37%,-3.65%,-2.36%,"3,074,916",2.72%
RSG,S&P; 500,25.70,2.83,0.10%,335.83M,1.18%,24.45B,22.31,3.26,-41.35%,323.59M,-5.87%,936.50M,1.63,0.78,96.10%,1.75%,1.13%,10.07B,2.43,35.10%,-1.68%,3.32,5.58%,24.34,2.99,6.29%,6.60%,76.50,8.83%,-,-,15.75%,17.70%,60.26 - 78.54,1.00%,1.50,31.41,9.10%,7.40%,-7.30%,0.61,2.06%,0.50,4.30%,38.30%,20.83%,1.45,35000,0.60,0.10%,16.50%,50.25,1.64% 2.06%,Yes,1.04,22.20%,13.90%,0.87,71.36,Yes,0.95,Feb 07 AMC,32.60%,1.71M,72.81,2.30,-0.33%,-1.05%,2.84%,"1,483,706",2.03%
RTN,S&P; 500,16.76,9.17,0.10%,293.99M,0.11%,45.20B,12.94,11.88,-1.11%,283.74M,-11.07%,2.64B,0.63,2.88,75.60%,1.64%,-25.72%,26.48B,1.71,-0.40%,0.23%,2.16,-20.60%,39.59,3.88,17.59%,8.10%,217.71,-18.35%,7.05,21.80,26.43%,23.50%,144.27 - 229.75,0.25%,3.47,28.27,5.90%,15.80%,-33.08%,0.90,2.26%,1.40,0.80%,26.90%,6.56%,4.77,64000,1.50,8.30%,15.80%,38.50,2.34% 3.13%,Yes,0.45,14.40%,9.30%,0.92,149.79,Yes,0.42,Jan 24 BMO,38.80%,2.15M,153.74,1.80,-4.44%,-10.52%,-21.73%,"1,972,554",2.64%
SBAC,S&P; 500,687.51,0.24,0.50%,115.94M,-0.15%,18.89B,97.92,1.66,-44.01%,111.87M,-4.13%,29.50M,19.66,0.43,97.00%,2.36%,5.39%,1.82B,10.35,83.40%,-1.91%,2.99,-1.86%,-27.44,-,383.72%,0.00%,184.82,0.18%,-,-,34.97%,0.10%,146.13 - 177.67,0.65%,-,26.78,22.30%,7.10%,-8.29%,0.67,-,1.20,12.60%,74.70%,11.50%,4.31,1291,1.20,7.70%,27.30%,46.17,2.15% 2.70%,Yes,-,-65.80%,-0.10%,0.84,162.54,Yes,-,Feb 04 AMC,-,884.02K,162.94,2.10,-1.75%,-1.65%,0.87%,"743,927",0.25%
SBUX,S&P; 500,19.12,3.32,2.80%,1.26B,0.59%,79.95B,21.09,3.01,-0.82%,1.20B,-5.82%,4.68B,1.60,0.65,79.50%,4.90%,14.60%,24.72B,3.23,70.00%,-2.55%,4.26,30.78%,0.87,73.07,13.65%,23.30%,68.64,8.28%,7.11,8.94,11.95%,115.70%,47.37 - 68.98,-1.29%,1.44,9.73,261.40%,43.90%,-7.84%,0.56,2.27%,2.00,10.70%,58.80%,34.20%,1.68,291000,2.20,10.60%,23.30%,48.01,2.42% 2.50%,Yes,8.07,4.30%,18.30%,0.92,61.53,Yes,7.77,Jan 31 AMC,38.90%,13.79M,63.57,2.30,-1.13%,-1.24%,10.61%,"12,652,191",3.32%
SCG,S&P; 500,-,-1.20,5.26%,150.67M,-4.08%,7.20B,17.72,2.70,0.00%,135.11M,4.94%,-171.00M,-,0.51,71.10%,3.01%,22.86%,4.11B,1.75,-114.90%,-1.62%,1.95,24.04%,37.70,1.27,-3.51%,-1.10%,49.38,20.29%,3.07,15.58,4.00%,-3.80%,33.61 - 51.27,20.11%,0.49,-,-17.10%,1.80%,-6.81%,-0.05,1.03%,1.00,1.10%,70.10%,42.16%,1.59,5228,1.20,-13.90%,-3.30%,53.27,3.58% 3.36%,Yes,1.31,97.10%,-4.90%,9.74,47.78,Yes,1.25,Jan 24 BMO,-,2.08M,47.78,2.60,-0.79%,8.70%,22.04%,0,0.00%
SCHW,S&P; 500,19.01,2.23,11.11%,1.38B,3.36%,58.65B,14.76,2.88,-0.32%,1.20B,-6.64%,3.04B,0.70,0.64,81.40%,1.65%,-16.46%,10.39B,5.64,25.70%,-1.10%,2.15,-14.23%,13.35,3.18,18.07%,1.20%,54.18,-17.62%,15.80,2.69,27.32%,17.70%,37.83 - 60.22,2.19%,0.52,26.43,18.90%,1.20%,-29.53%,1.34,1.23%,-,12.00%,93.40%,12.19%,1.41,19100,-,24.30%,41.40%,52.54,2.63% 3.50%,Yes,12.15,52.70%,28.80%,0.77,40.72,Yes,0.32,Jan 16 BMO,18.50%,9.20M,42.44,2.30,3.72%,-3.13%,-16.11%,"7,058,647",4.22%
SEE,S&P; 500,18.84,1.88,0.20%,159.92M,2.49%,5.67B,13.03,2.72,6.35%,154.68M,-2.13%,306.70M,1.01,0.67,97.60%,7.72%,-7.78%,4.70B,1.21,-64.50%,-2.79%,4.65,-16.67%,-2.84,-,11.89%,-0.80%,41.23,-28.33%,1.20,29.63,18.72%,15.90%,30.22 - 49.86,1.75%,0.64,-,15.60%,9.00%,-28.90%,1.08,1.81%,0.60,-10.00%,31.40%,17.31%,1.11,15000,1.00,4.90%,13.90%,57.09,2.48% 3.34%,Yes,-,56.60%,-0.90%,0.62,34.73,Yes,-,Jan 31 BMO,-,2.57M,35.45,2.10,3.81%,3.05%,-11.65%,"1,594,395",2.07%
SHW,S&P; 500,29.03,13.45,0.20%,96.53M,-0.18%,37.69B,17.73,22.03,-16.12%,82.52M,-6.66%,1.28B,1.64,4.14,78.10%,2.27%,-11.70%,17.45B,2.16,6.00%,-2.00%,2.11,-4.73%,42.69,9.15,15.24%,9.50%,444.86,-5.99%,1.88,207.67,17.71%,50.50%,355.28 - 479.64,-0.76%,3.44,25.33,16.10%,8.40%,-18.59%,1.28,0.88%,0.70,9.50%,43.20%,9.90%,12.52,52695,1.00,5.00%,8.80%,49.75,2.81% 3.27%,Yes,2.43,6.40%,10.90%,1.19,380.39,Yes,2.19,Jan 24 BMO,16.80%,885.72K,390.47,2.10,0.89%,-1.90%,-5.05%,"1,056,871",2.65%
SIVB,S&P; 500,12.76,15.71,0.10%,54.03M,5.45%,10.83B,9.66,20.74,-34.92%,52.99M,-21.71%,844.40M,1.53,4.74,91.60%,2.24%,-37.64%,1.83B,5.91,30.90%,0.39%,1.45,-31.24%,92.50,2.17,15.79%,1.50%,307.00,-15.68%,89.02,2.25,8.33%,18.10%,177.70 - 333.74,5.52%,-,15.06,19.60%,20.40%,-39.95%,1.85,-,-,17.70%,-,12.78%,9.81,2836,-,33.20%,91.50%,46.95,3.93% 5.27%,Yes,0.14,82.80%,45.00%,0.83,189.64,Yes,0.14,Jan 24 AMC,0.00%,815.34K,200.41,1.80,2.03%,-10.86%,-29.00%,"680,337",5.68%
SJM,S&P; 500,19.15,5.01,1.30%,117.35M,1.58%,11.25B,11.62,8.25,1.77%,108.61M,-7.15%,566.10M,2.28,2.02,82.70%,6.17%,-5.66%,7.61B,1.48,-1.80%,-3.93%,4.83,-13.34%,70.94,1.35,2.82%,8.20%,105.00,-22.30%,1.66,57.91,8.40%,16.80%,91.32 - 133.38,2.56%,3.40,22.66,0.00%,5.90%,-28.12%,0.43,3.55%,0.60,4.50%,37.80%,4.99%,3.05,7000,1.20,5.10%,13.50%,42.53,2.81% 3.22%,Yes,0.78,-3.30%,17.50%,1.00,94.59,Yes,0.73,Nov 28 BMO,27.10%,1.39M,95.88,3.10,-1.74%,-8.13%,-12.07%,"1,381,483",1.36%
SLB,S&P; 500,-,-0.42,0.08%,1.40B,7.60%,54.92B,20.27,1.93,-2.18%,1.38B,-15.57%,-579.00M,-,0.37,80.40%,1.53%,-37.58%,32.82B,1.67,17.20%,-2.17%,1.57,-41.16%,26.38,1.48,17.13%,-0.90%,59.39,-45.20%,2.03,19.24,26.20%,-1.80%,34.99 - 80.35,8.34%,2.00,78.45,-17.70%,-1.90%,-51.35%,1.17,5.12%,0.80,-6.10%,13.20%,11.72%,1.56,100000,1.10,7.60%,0.60%,43.70,4.27% 3.95%,Yes,0.48,18.20%,-2.00%,1.43,37.60,Yes,0.39,Jan 18 BMO,-,13.49M,39.09,2.30,0.69%,-13.92%,-35.67%,"19,327,598",3.96%
SLG,S&P; 500,21.88,3.63,0.30%,88.40M,-0.34%,7.02B,48.17,1.65,-44.31%,84.31M,-17.48%,321.50M,-,0.36,-,3.23%,-17.59%,1.27B,5.52,-62.60%,-2.57%,3.46,-22.59%,70.04,1.13,-51.18%,2.40%,105.11,-21.37%,1.81,43.80,-10.84%,5.30%,76.77 - 106.54,0.38%,3.40,69.00,-7.90%,3.70%,-25.49%,1.15,4.28%,-,3.20%,62.40%,3.40%,2.38,1065,-,-17.90%,31.80%,33.48,2.47% 2.97%,Yes,0.93,159.30%,25.30%,0.85,77.46,Yes,0.93,Jan 23 AMC,88.40%,786.06K,79.38,2.40,-7.03%,-11.99%,-17.96%,"671,078",2.48%
SNA,S&P; 500,13.44,11.22,1.00%,56.71M,4.69%,8.55B,11.93,12.64,-13.74%,55.02M,-8.23%,645.30M,1.39,3.03,-,11.24%,-18.31%,4.09B,2.09,4.80%,-0.51%,8.24,-7.99%,56.25,2.68,6.95%,12.00%,178.33,-13.94%,-,-,9.70%,20.60%,135.29 - 189.46,3.77%,3.80,18.44,13.10%,15.40%,-20.42%,1.30,2.52%,1.60,6.40%,53.90%,11.44%,4.76,12600,2.30,-0.30%,22.50%,53.68,3.16% 3.35%,Yes,0.35,25.80%,15.50%,1.66,145.46,Yes,0.30,Jan 17 BMO,29.20%,751.12K,150.77,1.90,3.18%,-1.69%,-6.09%,"1,250,263",3.65%
SNPS,S&P; 500,23.45,3.58,0.30%,152.46M,0.79%,12.79B,17.39,4.82,-18.99%,148.32M,-9.69%,546.50M,2.34,0.97,92.20%,1.91%,-13.80%,3.12B,4.10,304.10%,0.79%,2.07,-3.75%,23.22,3.61,13.83%,7.40%,112.11,-3.63%,-,-,10.00%,13.30%,79.14 - 103.40,-0.40%,-,30.37,17.60%,13.80%,-18.86%,1.20,-,0.70,9.70%,76.40%,6.01%,2.79,13245,0.70,14.10%,11.50%,45.98,2.59% 3.28%,Yes,0.13,302.60%,13.90%,1.03,81.11,Yes,0.04,Dec 05 AMC,0.00%,1.37M,83.90,1.80,-1.97%,-4.60%,-6.87%,"1,412,177",3.44%
SO,S&P; 500,21.04,2.13,0.06%,1.08B,1.73%,48.22B,14.80,3.02,-9.99%,1.02B,-5.85%,2.18B,15.48,0.24,59.10%,2.12%,4.49%,23.79B,2.03,-77.60%,0.54%,3.44,-5.99%,24.32,1.84,-0.53%,2.20%,46.89,-4.67%,1.71,26.10,1.36%,10.00%,42.38 - 49.43,1.80%,2.40,-,-26.50%,2.90%,-9.55%,0.05,5.37%,0.50,6.80%,85.50%,5.50%,0.98,31344,0.70,-0.70%,18.50%,46.74,1.67% 2.40%,Yes,1.89,6.90%,10.30%,0.91,44.34,Yes,1.67,Feb 06 BMO,98.10%,6.27M,44.71,3.40,-1.84%,-2.57%,-1.43%,"5,680,701",0.83%
SPG,S&P; 500,22.61,7.40,0.49%,328.84M,0.03%,55.04B,22.77,7.35,-0.46%,318.71M,-10.47%,2.30B,2.63,1.90,95.70%,3.09%,-3.30%,5.62B,9.79,6.30%,-0.17%,6.01,-2.97%,10.80,15.50,-0.76%,7.30%,196.95,-2.47%,2.12,79.12,8.60%,66.60%,145.78 - 191.49,-0.36%,8.00,141.42,8.20%,9.50%,-12.59%,0.52,4.78%,-,5.40%,82.20%,14.82%,4.58,3300,-,0.40%,54.20%,39.66,2.39% 2.90%,Yes,7.09,8.80%,40.80%,0.64,164.87,Yes,7.09,Jan 24 BMO,104.70%,1.64M,167.38,2.00,-4.42%,-6.98%,-1.97%,"1,056,136",1.52%
SPGI,S&P; 500,23.59,7.30,0.10%,255.00M,1.84%,43.93B,18.53,9.30,-1.76%,250.13M,-6.99%,1.86B,1.40,2.23,84.80%,1.23%,-11.98%,6.31B,6.96,-20.00%,-2.56%,1.64,-15.89%,3.60,47.85,9.25%,18.70%,207.29,0.84%,-,-,16.80%,309.90%,156.68 - 217.31,1.37%,2.00,27.52,22.70%,45.20%,-20.73%,1.11,1.16%,1.40,7.30%,72.70%,9.94%,4.87,20400,1.40,2.20%,43.00%,52.10,2.70% 2.81%,Yes,4.05,21.60%,27.10%,1.02,164.37,Yes,4.05,Jan 24 BMO,28.20%,1.88M,172.26,2.30,2.67%,-1.84%,-11.18%,"1,919,066",4.80%
SRE,S&P; 500,65.55,1.69,0.10%,284.92M,2.65%,31.47B,18.12,6.10,-16.02%,273.31M,-5.14%,429.00M,7.63,1.47,96.70%,7.55%,-3.63%,11.39B,2.76,-18.20%,4.32%,10.76,-5.83%,52.41,2.11,12.16%,-0.80%,125.55,2.15%,0.74,148.45,8.59%,-3.20%,100.49 - 127.22,2.10%,3.58,-,5.10%,4.80%,-13.17%,0.37,3.24%,0.60,3.00%,99.40%,9.93%,2.73,16046,0.60,9.50%,8.50%,48.28,2.21% 2.62%,Yes,1.79,341.40%,-3.90%,1.41,107.25,Yes,1.49,Feb 06 BMO,-,1.92M,110.46,1.80,-2.01%,-2.51%,-2.13%,"2,708,005",2.99%
STI,S&P; 500,10.59,5.07,0.35%,464.61M,8.48%,24.97B,9.17,5.86,-0.15%,438.35M,-13.75%,2.39B,0.76,1.38,85.30%,1.10%,-19.93%,6.90B,3.62,7.10%,-3.46%,1.09,-19.72%,48.05,1.12,2.55%,1.30%,71.75,-18.18%,28.59,1.88,13.89%,12.30%,46.05 - 75.08,6.54%,2.00,7.77,1.40%,13.50%,-28.42%,1.39,3.72%,-,1.70%,-,16.70%,1.75,23785,-,12.20%,82.20%,49.71,2.53% 3.58%,Yes,0.65,40.40%,39.80%,1.05,51.93,Yes,0.65,Jan 18 BMO,28.90%,4.43M,53.74,2.20,3.05%,-7.59%,-18.98%,"4,652,578",3.49%
STT,S&P; 500,9.23,6.95,0.30%,382.01M,1.53%,24.52B,8.62,7.45,-4.47%,377.26M,-12.25%,2.60B,0.98,1.80,89.20%,1.06%,-25.44%,3.49B,7.04,19.10%,3.92%,1.20,-30.55%,55.64,1.15,1.10%,1.00%,84.58,-34.12%,265.47,0.24,9.44%,11.90%,57.87 - 114.27,1.78%,1.88,1.96,7.10%,5.20%,-43.83%,1.36,2.93%,-,-1.50%,-,10.92%,2.44,39020,-,20.20%,74.80%,48.66,2.95% 3.91%,Yes,0.62,12.50%,67.30%,1.23,61.85,Yes,0.50,Jan 18 BMO,26.50%,3.32M,64.19,2.30,1.87%,-5.35%,-25.93%,"4,080,579",3.78%
STX,S&P; 500,5.65,6.75,0.20%,288.02M,-0.78%,10.99B,7.26,5.25,-,284.20M,-14.79%,1.98B,0.93,1.29,94.60%,10.34%,-20.19%,11.54B,0.95,126.30%,6.03%,6.64,-34.93%,6.43,5.93,2.02%,15.80%,48.24,-10.99%,6.74,5.66,6.06%,97.80%,35.38 - 62.70,-1.17%,2.52,8.32,4.00%,29.60%,-39.17%,1.57,6.61%,1.10,-4.90%,30.70%,7.80%,1.73,43000,1.40,13.60%,16.30%,44.56,4.07% 4.46%,Yes,2.61,148.60%,12.60%,0.73,36.52,Yes,2.34,Feb 01 BMO,49.90%,4.42M,38.14,2.90,-0.84%,-7.19%,-25.67%,"3,231,368",4.44%
STZ,S&P; 500,12.50,13.33,0.40%,195.84M,1.91%,32.63B,16.40,10.16,-27.97%,157.79M,-15.94%,2.95B,1.07,2.06,84.90%,3.46%,-20.94%,7.91B,4.12,29.30%,-1.75%,2.40,-22.77%,59.15,2.82,7.71%,15.10%,240.17,-26.76%,1.11,150.44,11.71%,35.00%,156.25 - 236.62,3.61%,2.96,42.62,36.90%,10.00%,-29.58%,0.42,1.78%,0.80,22.10%,50.70%,6.64%,4.98,9600,1.70,10.10%,29.10%,38.14,2.84% 2.99%,Yes,0.88,112.30%,41.80%,1.47,161.60,Yes,0.82,Jan 09 BMO,10.30%,2.27M,166.62,2.30,-4.25%,-12.46%,-21.55%,"3,350,911",3.11%
SWK,S&P; 500,18.07,6.82,0.30%,154.37M,2.49%,19.01B,14.02,8.79,-1.81%,150.51M,-9.46%,1.04B,1.68,2.10,89.20%,2.42%,-16.08%,13.76B,1.38,25.80%,1.07%,2.14,-8.04%,49.55,2.49,7.96%,5.00%,147.20,-27.19%,2.39,51.56,10.77%,13.20%,106.41 - 176.62,2.85%,2.64,161.79,24.40%,11.30%,-30.27%,1.30,2.14%,0.50,4.90%,36.00%,15.73%,4.63,57765,0.90,4.00%,10.00%,54.01,3.00% 3.92%,Yes,0.58,-8.50%,7.20%,0.69,117.21,Yes,0.39,Jan 22 BMO,38.40%,1.71M,123.15,2.10,3.26%,1.17%,-10.48%,"1,182,068",5.07%
SWKS,S&P; 500,10.04,6.34,0.20%,182.37M,-6.04%,11.60B,7.80,8.16,-13.00%,176.80M,-13.38%,1.16B,0.92,1.91,83.70%,3.29%,-31.17%,3.87B,3.00,17.20%,-0.90%,2.46,-36.15%,22.98,2.77,11.21%,19.40%,98.84,-36.33%,5.63,11.29,10.90%,22.70%,60.12 - 115.98,-5.06%,1.52,11.50,34.40%,28.00%,-45.14%,0.69,2.39%,4.50,16.60%,50.40%,5.85%,2.89,9400,5.80,2.40%,34.10%,37.50,4.81% 4.02%,Yes,0.00,-0.30%,23.70%,1.72,60.72,Yes,0.00,Feb 07 AMC,26.40%,2.36M,63.63,2.40,-5.48%,-13.29%,-29.06%,"4,067,426",4.79%
